time,setpoint,measurement,xhat,voltage
2.16,2562.066463,2547.111372,2623.304016,5.446872552
2.18,2562.066463,2669.297526,2615.178775,5.542953005
2.2,2562.066463,2520.486514,2626.092484,5.413925058
2.22,2562.064459,2574.304732,2606.59774,5.64439421
2.24,2562.066433,2574.304732,2579.062875,5.969915251
2.26,2562.066433,2574.304732,2561.3804,6.178986956
2.28,2562.068407,2520.486514,2591.54381,5.822386774
2.3,2562.068407,2547.111372,2584.411165,5.906732503
2.32,2562.066463,2574.304732,2579.830614,5.960878002
2.34,2562.07155,2574.304732,2584.639852,5.904022982
2.36,2562.064459,2520.486514,2572.390546,6.048861312
2.38,2562.063842,2669.297526,2557.095335,6.229616662
2.4,2562.063842,2485.840652,2547.272885,6.345736991
2.42,2562.06321,2468.872456,2555.980495,6.242788069
2.44,2562.06321,2574.304732,2577.243104,5.991403368
2.46,2562.06321,2574.304732,2601.730361,5.701901366
2.48,2562.063225,2630.47138,2609.30167,5.612389194
2.5,2562.063225,2574.304732,2595.814658,5.77184032
2.52,2562.06318,2574.304732,2548.460327,6.331689421
2.54,2562.063136,2574.304732,2556.743018,6.23376619
2.56,2562.063136,2574.304732,2580.411292,5.953946221
2.58,2562.057812,2640.071641,2620.626942,5.47847159
2.6,2562.057812,2547.111372,2588.071702,5.863304827
2.62,2562.063136,2520.486514,2567.165216,6.110495773
2.64,2562.06318,2520.486514,2553.739597,6.269274062
2.66,2562.06318,2574.304732,2537.843069,6.457212121
2.68,2562.063165,2669.297526,2602.010916,5.698583996
2.7,2562.063165,2574.304732,2617.635972,5.513855738
2.72,2562.06315,2460.474931,2578.876609,5.972090459
2.74,2562.063165,2333.482676,2517.596192,6.696581618
2.76,2562.063165,2494.412516,2491.433814,7.005887976
2.78,2562.063147,2311.117028,2452.930934,7.461090412
2.8,2562.077328,2356.285439,2424.031745,7.802813312
2.82,2562.098581,2387.391517,2438.144866,7.636192252
2.84,2562.063147,2356.285439,2447.208485,7.529096652
2.86,2562.041875,2485.840652,2467.037881,7.294218887
2.88,2562.041893,2494.412516,2496.865698,6.94136632
2.9,2562.048984,2574.304732,2501.317773,6.888761966
2.92,2562.06315,2411.265432,2467.787989,7.285300994
2.94,2562.056045,2387.391517,2482.64573,7.109754952
2.96,2562.041863,2460.474931,2462.327203,7.349840463
2.98,2562.041875,2443.8501,2430.063911,7.73113408
3,2562.063147,2435.621649,2442.015862,7.589922715
3.02,2562.07623,2435.621649,2449.692754,7.499429854
3.04,2562.044635,2435.621649,2478.300368,7.161209446
3.06,2562.019888,2574.304732,2504.097972,6.855795504
3.08,2562.023593,2574.304732,2520.663631,6.659716786
3.1,2562.048389,2574.304732,2514.207936,6.736182709
3.12,2562.045052,2574.304732,2561.248629,6.180273742
3.14,2562.034564,2574.304732,2608.319345,5.623699379
3.16,2562.024161,2699.177722,2595.181314,5.77887561
3.18,2562.019792,2729.734451,2586.743539,5.878509494
3.2,2562.016688,2699.177722,2607.82794,5.629181205
3.22,2562.019873,2574.304732,2594.864653,5.782423181
3.24,2562.009571,2574.304732,2578.952651,5.970531269
3.26,2562.006224,2520.486514,2602.823907,5.688195175
3.28,2562.003672,2574.304732,2618.153517,5.50691575
3.3,2562.003672,2547.111372,2579.204283,5.967369919
3.32,2561.993116,2547.111372,2568.894453,6.089213244
3.34,2561.995838,2602.084999,2554.844639,6.255224648
3.36,2561.998467,2547.111372,2545.822217,6.361931091
3.38,2561.992121,2387.391517,2532.753365,6.516437304
3.4,2561.985418,2387.391517,2487.9706,7.045792273
3.42,2561.971638,2387.391517,2444.460339,7.560069105
3.44,2561.964771,2411.265432,2410.395991,7.962630332
3.46,2561.986619,2289.176043,2443.390577,7.572575263
3.48,2561.953381,2356.285439,2430.581748,7.724083266
3.5,2561.91835,2485.840652,2473.446168,7.216835502
3.52,2561.908536,2435.621649,2469.864993,7.258783674
3.54,2561.920099,2520.486514,2483.967817,7.092004158
3.56,2561.920673,2669.297526,2550.155435,6.309614721
3.58,2561.890971,2669.297526,2550.23261,6.308580751
3.6,2561.880626,2574.304732,2584.370703,5.904641436
3.62,2561.866253,2574.304732,2614.629587,5.546739563
3.64,2561.865016,2640.071641,2625.723994,5.415427044
3.66,2561.872107,2771.569462,2606.34544,5.644549202
3.68,2561.873343,2574.304732,2609.571881,5.606480238
3.7,2561.873343,2574.304732,2622.47658,5.453925994
3.72,2561.872145,2574.304732,2622.609669,5.452347397
3.74,2561.87341,2435.621649,2589.330386,5.845787133
3.76,2561.87341,2669.297526,2575.387309,6.010642548
3.78,2561.865567,2547.111372,2542.261129,6.402245102
3.8,2561.872658,2435.621649,2530.456319,6.541760516
3.82,2561.857791,2494.412516,2486.485855,7.06161068
3.84,2561.848761,2387.391517,2458.247478,7.395273955
3.86,2561.845406,2311.117028,2476.502113,7.179353291
3.88,2561.878498,2435.621649,2424.957383,7.788852248
3.9,2561.882286,2485.840652,2425.266822,7.785539258
3.92,2561.866298,2494.412516,2452.933061,7.458422722
3.94,2561.849376,2460.474931,2495.380554,6.956353275
3.96,2561.846234,2494.412516,2522.638855,6.633908673
3.98,2561.841953,2669.297526,2517.853319,6.69043635
4,2561.860012,2669.297526,2537.070533,6.463274538
4.02,2561.849619,2669.297526,2549.412363,6.317497634
4.04,2561.857898,2574.304732,2600.70327,5.711040052
4.06,2561.861768,2669.297526,2663.509191,4.968612367
4.08,2561.87004,2669.297526,2657.113805,5.044296122
4.1,2561.87004,2640.071641,2604.213616,5.66979392
4.12,2561.851757,2602.084999,2592.531508,5.807827974
